gene_id	ERR188245	ERR188428	ERR188337	ERR188401	ERR188257	ERR188383	ERR204916	ERR188234	ERR188273	ERR188454	ERR188104	ERR188044
NM_001242640|BRCC3	520	313	737	737	614	304	312	574	83	358	495	401
NM_001356|DDX3X	203	336	312	312	239	37	129	432	44	32	879	102
NM_000489|ATRX	1260	3278	3919	3919	4098	3632	4259	1946	1692	2501	5921	4909
NM_000116|TAZ	207	282	562	562	286	389	468	598	130	263	430	432
NM_016024|RBMX2	1072	1164	1849	1849	1356	1752	1430	1453	765	1292	1843	1626
NR_029635|MIR221	1	2	8	8	5	2	3	3	2	2	10	6
NM_006875|PIM2	17733	5928	10205	10205	8370	7604	8723	12487	4044	12226	8371	6617
NM_001170649|LAS1L	1846	1437	3117	3117	2474	2408	1903	3390	1147	1854	2337	2519
NM_206915|NGFRAP1	58	38	263	263	46	44	116	79	17	58	68	48
NM_004299|ABCB7	127	829	1627	1627	827	1289	1032	882	495	869	1330	1256
NM_031407|HUWE1	21217	30040	51182	51182	27082	22102	34748	39012	17584	26130	41348	43076
NM_001166704|FAM104B	45	41	47	47	52	22	34	71	18	54	59	37
NM_005676|RBM10	1609	1165	1237	1237	1254	1251	1680	1963	463	1011	928	1332
NM_133486|MBNL3	1000	341	1168	1168	436	2091	875	915	8	903	1497	1546
NM_182540|DDX26B	1019	957	1586	1586	1439	1404	1413	1928	862	2161	1829	2422
NM_017938|TMEM255A	52	153	287	287	257	180	172	144	11	6	4	240
NM_000202|IDS	5144	3952	10182	10182	7730	7277	9983	9157	3919	10177	8455	5314
NM_001080485|ZNF275	1448	1470	1979	1979	1925	2300	2787	3649	1249	2676	3411	2711
NM_004135|IDH3G	2429	1661	3268	3268	2051	2393	3059	3863	1308	2847	2907	3827
NM_016032|ZDHHC9	595	500	975	975	563	693	830	950	243	709	929	820
NM_001135565|PUDP	288	13	297	297	3	2	394	415	216	265	7	430
NM_007363|NONO	15890	16247	27492	27492	18590	15801	18439	31961	12681	17361	23572	25734
NM_017518|HAUS7	898	669	1634	1634	933	844	853	1241	423	711	773	999
NM_138737|HEPH	33	7	192	192	42	59	274	1	22	122	110	437
NM_001195214|YIPF6	1	45	42	42	38	43	3	43	50	2	77	2
NM_017677|MTMR8	74	95	139	139	95	85	185	187	60	138	163	174
NM_005314|GRPR	12	170	44	44	31	39	26	50	51	66	96	180
NM_001184768|ARMCX6	4	6	119	119	55	74	54	182	41	128	113	76
NM_001105576|SOWAHD	157	75	53	53	40	109	203	237	78	126	113	120
NM_001300888|PBDC1	61	27	94	94	99	73	72	76	30	118	74	97
NM_000194|HPRT1	4181	4043	8198	8198	5021	6298	5815	5685	2008	4833	7111	4525
NR_106954|MIR6894	3	3	4	4	2	1	4	3	2	5	2	3
NM_004780|TCEAL1	166	72	262	262	77	140	104	203	62	194	61	173
NM_005710|PQBP1	107	56	78	78	59	28	90	72	52	60	18	75
NR_131982|LOC105373383	10	8	12	12	11	12	18	13	2	2	8	9
NM_001305840|TCEAL4	10	8	175	175	23	10	13	26	6	21	147	25
NM_001011658|TRAPPC2	888	1046	956	956	923	909	895	167	651	828	1165	1002
NR_002984|SNORA56	1	1	1	1	1	1	1	1	1	1	1	1
NM_033031|CCNB3	8	4	28	28	10	8	13	7	6	28	50	37
NM_001006684|TCEAL8	237	158	458	458	326	499	391	261	70	479	507	318
NM_031462|CD99L2	2033	1314	1976	1976	1541	1529	1582	2397	1023	2266	1496	3773
NM_001081550|THOC2	2272	3760	5430	5430	4336	4861	4752	3957	2220	4730	7449	6014
NM_018196|TMLHE	537	503	801	801	448	560	801	765	397	751	1111	1086
NM_001170756|FAM122B	672	137	247	247	203	894	744	193	355	234	233	261
NM_152695|ZNF449	100	90	196	196	115	135	115	124	57	174	218	182
NM_001032396|PJA1	334	483	487	487	473	742	587	709	245	617	494	626
NM_001039091|PRPS2	424	1155	507	507	761	667	370	2089	315	488	778	463
NM_153280|UBA1	7618	5230	10801	10801	7284	6577	6762	12643	11256	8235	10759	9675
NM_001032289|SLC35A2	93	164	255	255	305	155	90	177	122	257	144	310
NM_012310|KIF4A	1373	2116	2318	2318	1985	2761	2875	4026	1585	2606	3373	3754
NM_001127899|CLCN5	250	18	782	782	305	278	282	450	173	291	548	531
NM_002294|LAMP2	822	526	882	882	864	857	800	1048	590	1274	841	1406
NM_002641|PIGA	400	430	1135	1135	654	669	611	547	248	526	1047	625
NM_177947|ARMCX3	1121	1225	1916	1916	1367	1928	1649	1812	586	2584	2046	1889
NM_001037811|HSD17B10	354	118	421	421	154	153	238	329	62	277	200	297
NM_021109|TMSB4X	238611	274591	471912	471912	366155	304879	278464	606586	217975	320025	440436	450711
NM_001142427|MORF4L2	66	36	167	167	57	125	59	70	72	145	69	130
NM_016562|TLR7	2377	4224	6410	6410	4125	5524	2847	3999	2771	3945	3164	5556
NM_019056|NDUFB11	1614	834	1526	1526	1111	1201	1314	1529	575	1376	1025	1643
NR_002308|UQCRBP1	60	114	222	222	240	152	238	288	82	195	223	227
NM_001257240|ALG13	178	239	97	97	74	354	99	358	114	340	338	83
NM_001167947|TIMM17B	485	158	304	304	245	252	331	443	86	303	350	300
NM_004089|TSC22D3	1925	3358	3260	3260	2284	3088	4190	4422	1051	6159	4165	2110
NM_001183|ATP6AP1	2995	2034	3216	3216	2658	2315	2660	4131	1520	3234	2777	4044
NM_006306|SMC1A	8612	15380	14925	14925	9823	10447	16937	24823	9722	10033	14484	15065
NR_015378|ZNF674-AS1	90	78	178	178	120	130	156	205	85	150	200	145
NR_033700|FMR1	278	204	223	223	403	412	266	616	138	431	492	259
NM_004538|NAP1L3	2	5	13	13	12	9	12	15	4	22	6	8
NM_001163438|SMIM10	15	48	2	2	10	18	52	44	26	46	10	23
NM_183353|RLIM	8	847	1838	1838	925	12	19	12	918	1	2496	1698
NR_003238|H2BFXP	68	42	109	109	94	52	32	105	19	51	71	67
NR_027783|SAT1	889	658	1186	1186	1158	1110	778	1048	270	1208	806	869
NM_022977|ACSL4	32	174	223	223	44	88	403	124	46	102	267	213
NR_110506|UBE2E4P	240	223	366	366	242	249	306	367	101	353	418	403
NM_001018109|PIR	505	595	1304	1304	749	652	990	917	238	911	1160	707
NM_138270|ATRX	4	1513	3023	3023	1128	1717	641	2094	731	2618	2605	2318
NM_001137554|MCTS1	684	256	308	308	106	886	582	98	372	1006	150	1107
NM_002814|PSMD10	1646	1904	3606	3606	2339	2646	2607	3343	1123	2678	3280	2567
NM_005342|HMGB3	2022	1767	2163	2163	2478	2415	1572	3105	1079	2432	2107	2185
NM_013444|UBQLN2	2224	2026	3894	3894	2681	2630	2606	2776	1185	2555	2792	2574
NM_002183|IL3RA	374	363	1082	1082	756	554	990	315	421	1134	1147	1209
NM_012216|MID2	7	12	8	8	6	16	19	9	6	4	24	11
NM_001282198|SLC25A14	151	87	224	224	235	138	124	236	71	218	159	200
NR_130172|LOC100101478	141	143	165	165	156	97	76	178	31	91	167	171
NM_001198719|RBBP7	410	236	1099	1099	405	686	495	941	416	895	741	904
NM_001282400|ZMAT1	32	78	77	77	141	80	84	169	77	245	316	85
NM_001178085|ZFX	1310	939	205	205	6	483	264	950	1	74	1657	339
NM_001123385|BCOR	629	770	704	704	391	578	778	988	382	1513	1168	604
NM_004586|RPS6KA3	2148	3267	5019	5019	3158	3835	4168	4448	1958	3772	5380	5010
NM_001136158|OTUD5	629	321	1065	1065	1091	709	964	1262	343	783	779	1001
NM_014235|UBL4A	1469	1455	2219	2219	1589	1981	1762	2849	1103	1799	1817	2093
NM_001024666|SH3KBP1	5970	5345	1949	1949	5306	6453	1679	7331	2831	2011	4333	538
NM_003916|AP1S2	1374	3123	2825	2825	2539	3227	2584	3754	1742	2980	4087	3363
NM_004429|EFNB1	68	43	98	98	78	69	62	148	26	111	16	77
NM_000117|EMD	3052	1378	3607	3607	2787	2757	2927	2554	1116	2301	2396	2442
NR_126094|DDX3X	36	38	93	93	28	11	65	131	49	83	95	80
NM_001099857|IKBKG	819	549	613	613	952	850	505	574	403	851	728	1092
NM_031206|LAS1L	1531	1403	2889	2889	1160	1350	1957	2065	637	1036	2413	2060
NM_017745|BCOR	741	585	633	633	776	551	896	1041	336	1076	876	1888
NM_006150|PRICKLE3	730	463	1227	1227	855	635	1010	1112	216	826	862	601
NM_001039705|TRO	129	4	29	29	69	467	8	125	16	187	150	11
NM_012282|KCNE5	23	8	31	31	34	29	11	24	21	26	11	15
NM_001303543|VBP1	206	163	3	3	175	242	165	143	99	232	195	267
NM_001163280|HTATSF1	1253	550	1970	1970	1364	899	932	866	409	768	326	586
NM_002910|RENBP	280	106	685	685	226	253	271	200	132	113	396	342
NM_006639|CYSLTR1	530	686	837	837	950	823	558	907	541	575	934	850
NR_033669|ARMCX6	612	550	619	619	520	617	606	897	356	699	761	806
NM_001171581|ITM2A	494	127	375	375	320	314	341	276	190	263	350	273
NM_001145408|NONO	5438	5272	6581	6581	6074	5445	4366	5782	1420	2038	6331	2303
NM_001011551|C1GALT1C1	808	601	1175	1175	898	1076	690	1038	394	1207	916	980
NM_001171136|ZBED1	1802	2999	5490	5490	3062	3037	4441	346	2327	3261	4688	5413
NR_026975|FIRRE	100	149	352	352	135	83	138	110	21	17	148	152
NM_001142419|MORF4L2	298	132	268	268	188	202	230	208	119	282	351	196
NM_001029891|PGAM4	4032	4691	8525	8525	4109	6589	10263	9286	5141	6854	10250	9850
NM_001281463|SMC1A	6	3	11	11	364	9	1397	20	998	14	1629	1615
NR_030737|TTC3P1	22	25	43	43	27	20	23	51	26	27	36	41
NM_001178099|ZNF182	415	1	4	4	30	2	50	104	111	254	35	73
NM_001171080|RBM41	416	407	881	881	724	659	565	500	269	644	1112	575
NM_001126055|CASK	204	1107	2608	2608	1547	1122	990	1618	280	1124	1626	1396
NM_021806|FAM3A	210	136	291	291	351	326	409	591	267	424	217	687
NM_000276|OCRL	275	229	456	456	421	471	260	274	167	44	842	113
NM_144970|CXorf38	1812	2561	3488	3488	1893	2355	3574	3854	1422	2465	2949	2907
NM_014499|P2RY10	1433	992	1501	1501	1210	1311	1506	1572	854	1888	1922	1781
NM_173470|MMGT1	1611	1347	2259	2259	1737	1888	1518	1706	811	1755	2049	1814
NM_020932|MAGEE1	62	79	90	90	76	28	138	189	108	110	154	164
NM_001272061|MAGED4	7	2	4	4	7	4	2	8	2	6	9	37
NM_001184898|PHF8	3	13	42	42	19	11	10	19	7	26	26	14
NM_144495|PQBP1	61	31	143	143	65	46	74	52	46	65	64	54
NM_001129899|KRBOX4	146	132	154	154	113	98	79	206	91	130	94	203
NM_000252|MTM1	206	351	306	306	365	515	269	558	296	313	347	592
NM_001415|EIF2S3	22536	18969	26074	26074	17691	16442	23505	30917	12589	16226	22336	18632
NM_032553|GPR174	142	465	418	418	325	269	389	601	143	690	563	626
NM_004017|DMD	221	335	1119	1119	602	479	1093	356	266	545	1602	886
NM_001152|SLC25A5	19497	16353	28105	28105	19660	21614	25020	40435	12290	22798	29740	27438
NM_004699|FAM50A	2773	1442	4726	4726	2779	2240	3147	3726	1469	2782	3084	3468
NM_015922|NSDHL	1308	1034	1814	1814	1114	1437	1135	2219	951	1469	1471	2066
NM_001256120|NAA10	358	212	669	669	456	337	300	540	64	341	268	315
NM_005745|BCAP31	218	62	365	365	961	354	656	129	66	590	136	137
NM_018388|MBNL3	614	2038	2725	2725	688	1438	2447	412	1202	701	349	3268
NM_001142425|MORF4L2	447	385	602	602	248	609	324	371	261	501	430	340
NM_001173488|NKRF	379	120	117	117	213	101	104	104	86	245	209	183
NM_001010986|ATP11C	761	1310	1642	1642	1073	1461	1106	1316	520	1258	1880	1481
NM_001145073|USP27X	44	84	102	102	88	100	115	140	63	121	161	175
NM_001303625|RPL10	35	6	6	6	125	7	20	222	148	70	196	8
NM_002764|PRPS1	2745	3303	5626	5626	3272	3807	4147	5099	1753	3678	5236	4100
NM_001289773|MED14OS	27	17	63	63	36	29	57	26	4	15	56	37
NM_001282622|KDM5C	3364	3349	3239	3239	2131	2286	4270	5305	2779	2610	2452	3740
NR_028379|FTX	168	241	40	40	245	347	380	606	21	31	35	34
NM_006978|RNF113A	1400	927	1468	1468	1102	1229	1343	2123	793	1691	1461	1791
NR_110410|RAP2C-AS1	41	24	67	67	37	48	55	57	34	55	92	57
NM_001122898|CD99	122	53	54	54	104	78	113	2952	92	187	76	2488
NR_033187|PIN4	179	135	235	235	214	148	148	265	93	234	252	257
NM_001032381|PQBP1	440	143	318	318	140	394	603	895	148	582	634	338
NM_001551|IGBP1	3093	3418	4012	4012	2989	4169	4319	6840	2306	5238	4618	5376
NM_001166599|FAM122B	836	1772	3189	3189	2408	790	1289	2199	391	2608	3338	2452
NM_005334|HCFC1	8285	5963	10638	10638	10622	5612	7376	9993	4533	6719	7316	9908
NR_104128|IDS	100	158	171	171	139	106	279	214	88	176	286	572
NM_171998|RAB39B	689	520	788	788	654	683	825	876	295	1257	749	803
NM_006649|UTP14A	1765	1917	3601	3601	2366	2235	1870	3299	1079	2313	2415	2726
NM_018360|TXLNG	1902	2083	2784	2784	1842	2154	2062	2719	1249	1797	2417	1681
NM_002536|TBC1D25	975	775	1160	1160	964	981	1252	1923	803	1205	1557	2228
NM_001037171|ACOT9	1259	1280	2369	2369	1445	1545	1709	1763	403	1797	2118	1831
NM_024332|BRCC3	210	380	666	666	979	605	258	572	219	216	550	459
NM_001024455|RGAG4	16	66	77	77	53	42	67	103	4	41	17	113
NM_001195328|RAB9A	513	296	843	843	542	625	550	749	212	671	442	353
NM_001171163|ZMYM3	23	39	30	30	28	37	45	61	28	36	40	61
NM_001097579|GPR34	24	44	126	126	164	72	8	108	27	8	66	160
NM_007130|ZNF41	375	533	767	767	523	664	648	746	345	725	893	906
NM_016937|POLA1	2158	3068	5049	5049	3030	3409	4074	3940	1727	3120	5544	3966
NM_013995|LAMP2	2623	3326	5618	5618	3626	3891	4255	3604	1491	4955	5342	4186
NM_144658|DOCK11	1610	2632	2976	2976	2692	2927	3129	2720	1744	3078	4352	3949
NM_145177|DHRSX	925	579	1098	1098	684	825	611	771	356	699	727	1035
NM_021998|ZNF711	149	147	339	339	275	167	217	373	122	296	217	384
NM_004085|TIMM8A	649	540	1154	1154	818	727	673	978	328	584	834	714
NM_006579|EBP	2764	2226	3656	3656	2800	3114	3519	6023	2620	3309	3878	5134
NM_177433|MAGED2	468	759	402	402	269	888	448	598	367	539	666	848
NR_027402|FAM223B	8	6	4	4	6	14	6	18	8	6	8	16
NM_001001995|GPM6B	32	44	100	100	72	58	33	48	13	27	63	55
NM_178175|LHFPL1	18	35	154	154	80	86	62	59	18	70	112	152
NR_104387|TAF1	23	38	74	74	52	127	68	102	29	76	79	114
NM_001306206|CSTF2	1	4	11	11	5	18	2	2	7	1	2	4
NR_033699|FMR1	109	85	214	214	420	417	220	570	65	373	244	257
NM_001167|XIAP	905	1348	2235	2235	1525	1963	2175	1547	911	3277	942	2153
NM_198450|APOOL	1179	1253	1831	1831	1197	1215	1766	1493	798	1338	2483	1835
NM_015975|TAF9B	1125	1091	2725	2725	1855	1614	1079	1503	501	1530	1946	1269
NM_019886|CHST7	343	226	502	502	518	578	647	381	179	474	272	379
NM_019556|MOSPD1	112	139	198	198	292	297	182	305	84	308	265	393
NM_018990|SASH3	12980	11100	24145	24145	12939	10805	15542	21781	7680	15853	14625	19868
NM_001142418|MORF4L2	905	851	1160	1160	962	878	764	1362	345	1060	1206	704
NM_001168478|ARMCX5	8	319	499	499	42	266	233	351	51	303	425	306
NM_152787|TAB3	1056	1596	2879	2879	1705	1762	2020	1765	891	2209	2853	2572
NM_001173517|MAP7D3	22	12	41	41	28	19	4	127	7	26	40	21
NM_001504|CXCR3	416	374	307	307	846	239	757	848	1183	2045	831	1958
NM_015884|MBTPS2	630	826	1433	1433	814	941	1096	1113	572	1178	1643	1245
NM_001006613|WBP5	40	38	118	118	74	128	91	56	24	72	102	52
NM_013364|PNMA3	5	10	8	8	15	22	6	9	5	8	12	5
NM_001099922|ALG13	698	67	1281	1281	442	47	933	1654	67	129	113	996
NM_001042498|SLC35A2	584	218	567	567	213	507	496	662	186	583	321	322
NM_018466|ALG13	176	8	193	193	144	26	95	35	6	20	11	209
NM_178129|P2RY8	5496	4238	6471	6471	7042	6743	7084	10874	3831	7770	7891	11416
NR_037927|SSR4	161	47	188	188	97	138	249	96	201	286	246	257
NM_022117|TSPYL2	1237	868	1834	1834	1295	1135	1397	1681	455	1588	1606	1565
NM_018486|HDAC8	381	587	853	853	415	704	572	772	322	581	514	626
NM_006520|DYNLT3	740	655	1347	1347	992	982	810	625	265	1042	1313	780
NM_023934|FUNDC2	3021	2473	5005	5005	3081	3553	2854	4903	2120	2487	3426	3577
NM_004016|DMD	168	522	1083	1083	840	475	693	528	168	300	1210	795
NM_001170784|FAM122C	21	28	28	28	38	20	72	37	14	1	31	2
NM_001142423|MORF4L2	1587	1854	4309	4309	2563	2641	2803	3305	1038	3072	2866	2207
NM_001256447|BCAP31	2098	3386	2711	2711	1812	2115	1280	7321	2037	2186	4314	5130
NM_001010862|SPIN3	448	378	1090	1090	465	447	420	680	246	636	767	630
NM_003179|SYP	30	16	66	66	46	32	39	112	29	30	34	40
NM_001325|CSTF2	1765	1262	2892	2892	1697	231	1712	326	874	1699	2275	2246
NR_026742|USP27X-AS1	31	27	69	69	50	36	74	85	16	43	47	73
NR_002309|RPS26P11	452	211	477	477	306	631	739	1005	525	965	965	932
NM_017883|WDR13	526	181	555	555	477	377	501	201	100	385	306	327
NM_001242618|NXT2	485	376	457	457	552	281	639	627	225	831	862	685
NM_016500|PBDC1	1245	965	1819	1819	1593	1462	1122	1449	331	1688	1525	1557
NR_109776|ARHGAP6	3	3	2	2	1	3	21	15	4	12	13	15
NM_001039591|USP9X	5078	9293	11448	11448	6617	6941	10423	10302	5408	8414	12241	12965
NM_016120|RLIM	3031	2692	3507	3507	2684	4503	4277	4579	1633	5051	3529	3729
NM_003254|TIMP1	2124	1585	4736	4736	2636	1602	3169	3093	1688	1711	2514	6159
NM_173694|ATP11C	458	1237	2277	2277	1314	1204	1570	1024	871	1598	2040	1724
NM_001166426|WDR13	747	652	1848	1848	796	855	1219	1712	655	1041	1034	1791
NM_001171909|CXorf40A	45	69	182	182	83	39	65	132	55	49	63	91
NM_003334|UBA1	12095	11238	13339	13339	11560	8197	12209	20083	1825	7653	9217	15211
NM_004187|KDM5C	2659	3015	3006	3006	1975	1638	5416	4814	2674	2514	3862	4081
NR_026710|ASMTL-AS1	62	44	94	94	90	65	54	278	32	54	158	145
NM_004229|MED14	3315	5109	7879	7879	4189	4191	5223	5672	2776	3804	6335	6218
NM_001171162|ZMYM3	18	45	18	18	33	566	51	46	16	9	674	870
NM_173794|FUNDC1	555	622	1024	1024	644	793	915	966	300	679	933	725
NR_104107|SLC25A14	61	176	185	185	74	169	70	156	36	89	127	190
NR_026595|FAM226A	22	32	16	16	23	10	86	110	40	28	52	58
NM_001134321|FAM127B	158	80	158	158	176	191	195	158	53	190	168	113
NM_152856|RBM10	434	276	672	672	355	292	185	597	301	227	505	840
NM_018094|GSPT2	811	799	1307	1307	1075	953	937	1298	549	1330	1119	1299
NM_017752|TBC1D8B	80	243	530	530	297	368	752	174	149	323	342	394
NM_001412|EIF1AX	7059	6656	7758	7758	6372	7028	7586	8147	3429	5607	6552	4630
NM_001080425|BEX4	346	552	641	641	471	850	232	105	117	235	1202	127
NM_006014|LAGE3	771	304	842	842	840	730	843	1036	296	799	463	566
NM_000061|BTK	5789	6578	9242	9242	6450	8740	6749	12305	5047	8386	6932	10949
NM_033518|SLC38A5	3177	1599	3888	3888	2948	2759	2577	4495	1636	3032	2299	2911
NR_103768|CH17-340M24.3	53	48	81	81	70	59	36	82	50	63	47	96
NM_018390|PLCXD1	3099	1696	3370	3370	1717	1613	4772	5773	3990	2952	4758	7880
NM_174912|FAAH2	64	75	145	145	30	102	276	165	87	200	286	150
NM_005229|ELK1	1560	843	2571	2571	2226	1733	1987	1937	654	2006	1056	1634
NM_000397|CYBB	2792	4856	7353	7353	6290	5148	4817	9662	3642	5145	6791	7390
NR_024616|INE1	16	39	67	67	31	16	32	66	26	67	70	58
NM_001013845|CXorf40B	1089	809	1978	1978	1116	1172	1272	1543	410	839	1318	1466
NR_028597|SRD5A1P1	18	19	20	20	15	17	17	15	4	29	24	16
NM_001939|DRP2	17	6	30	30	26	16	28	29	24	34	54	42
NM_001033583|ACOT9	303	118	903	903	533	302	383	532	144	433	299	282
NM_015691|WWC3	1618	2006	1632	1632	2063	2498	1071	7324	1791	264	4781	1698
NM_013239|PPP2R3B	507	178	561	561	298	96	434	373	138	157	287	407
NM_006089|SCML2	16	3	17	17	6	16	4	12	12	57	20	13
NM_016608|ARMCX1	103	58	396	396	169	95	259	17	14	111	179	192
NM_001007|RPS4X	114738	84783	79594	79594	56917	76149	119127	193179	60288	74440	79547	83100
NM_006743|RBM3	14994	12423	20102	20102	13143	18754	20371	20401	6150	17655	31985	19830
NM_001012968|SPIN4	613	710	999	999	822	804	1070	1184	467	851	1231	971
NM_001166422|HDAC8	38	31	83	83	33	38	23	108	13	76	69	34
NM_181313|TAZ	207	68	274	274	324	96	155	132	122	116	180	204
NM_001204468|RBM10	338	471	1439	1439	582	801	702	660	318	625	719	1047
NR_110022|DKC1	4	76	1655	1655	9	157	928	16	162	134	304	10
NR_033181|SYAP1	318	379	513	513	391	333	336	844	152	383	494	148
NM_024122|APOO	652	446	1401	1401	839	756	604	823	280	656	761	619
